index,post_id_x,reply_id_x,female_most_frequent_label,female_votes,post_id_y,reply_id_y,prediction
41,7892378751459500032,16252800000000000000,RHETORICAL QUESTION,2,7892378751459499909,16252794309021202709,RHETORICAL QUESTION
2,7155693771356047360,18161900000000000000,OTHER,2,7155693771356046855,18161905213580884688,ANALOGY
36,9117711307358630912,7916660000000000000,CONTEXT SHIFT,1,9117711307358630712,7916655201224424892,ANALOGY
3,5929177359346716672,5855670000000000000,EUPHEMISM,2,5929177359346716605,5855671312721211658,EX:CONTEXTUALIZATION ERROR
90,2432806416627402752,11492500000000000000,FALSE ASSERTION,1,2432806416627403091,11492500343714452849,CONTEXT SHIFT
85,15169059911459409920,10309200000000000000,RHETORICAL QUESTION,2,15169059911459408271,10309176085348017995,OTHER
17,1679217763483685120,5478910000000000000,CONTEXT SHIFT,1,1679217763483684543,5478906752054136546,FALSE ASSERTION
70,13001943395368790016,10475000000000000000,CONTEXT SHIFT,2,13001943395368794277,10474993252439046566,OXYMORON
9,12841824500967149568,13599000000000000000,OTHER,2,12841824500967152638,13599020026271593789,CONTEXT SHIFT
43,11558390939674519552,12676400000000000000,FALSE ASSERTION,1,11558390939674521663,12676378721740979604,ANALOGY
25,10543569204621709312,6478110000000000000,RHETORICAL QUESTION,2,10543569204621710499,6478106222062563980,EX:CONTEXT
54,11137418050832379904,3817000000000000000,CONTEXT SHIFT,2,11137418050832379654,3816999479361169791,RHETORICAL QUESTION
50,9568837740787623936,2564980000000000000,CONTEXT SHIFT,3,9568837740787623353,2564977630664608854,HYPERBOLE
92,4520804865264936960,12052700000000000000,FALSE ASSERTION,2,4520804865264937407,12052725809972729004,ANALOGY
67,888612363643747712,9901380000000000000,CONTEXT SHIFT,2,888612363643747745,9901376417448567248,OXYMORON
4,12099038560420169728,10284800000000000000,ANALOGY,3,12099038560420169473,10284801989587274790,HYPERBOLE
86,3037383543302795776,6283640000000000000,CONTEXT SHIFT,2,3037383543302796324,6283644142388211856,EUPHEMISM
55,10281194885854019584,14278400000000000000,CONTEXT SHIFT,3,10281194885854020219,14278385778710598219,RHETORICAL QUESTION
7,4625931298966675456,3210680000000000000,HYPERBOLE,3,4625931298966675422,3210681809367953482,HYPERBOLE
12,8727623984665907200,457492000000000000,ANALOGY,1,8727623984665906820,457491692921579564,ANALOGY
72,255308143867597184,3714510000000000000,ANALOGY,1,255308143867597137,3714509432025276999,EUPHEMISM
77,7489313936521549824,7078800000000000000,CONTEXT SHIFT,3,7489313936521549730,7078804662830207026,FALSE ASSERTION
74,14222935602055790592,11326200000000000000,OXYMORON,2,14222935602055790506,11326178856097489517,RHETORICAL QUESTION
